#;Tipo;Situação;Título;Tempo estimado;Tempo gasto;Atribuído para;Categoria;Prioridade;Tarefas relacionadas
23075;DSV;Done;[ERRO] - [DocCob] Cancelar Doc Cob;5,00;1,90;Pedro  Rafael;"";Imediata;copiado #22918
23085;DSV;Done;[ERRO] - [DocCob] Gerar email Proforma Invoice;12,00;0,50;Pedro  Rafael;"";Imediata;copiado #22953
23132;DSV;Done;Pagina Inicial - Ajustar Imagem;1,00;1,30;Pedro  Rafael;"";Imediata;copiado #23070, copiada #23133
23134;DSV;Done;Remocao de Status Duplicados na tela de fatura ;1,00;0,60;Pedro  Rafael;"";Imediata;copiado #23133, copiada #23135
23135;DSV;Done;Rever mensagens de acoes na tela de Invoice (ex.: billingDocument.created) ;1,00;0,60;Pedro  Rafael;"";Imediata;copiado #23134, copiada #23136
23136;DSV;Done;Bug: Liberar evento ao liberar doc cob quando a invoice teve um event service incluido/excluido ;2,00;1,00;Pedro  Rafael;"";Imediata;copiado #23135, copiada #23137
23140;DSV;Done;Email proforma (usar o valor real);1,00;0,50;Pedro  Rafael;"";Imediata;copiado #23138, copiada #23141
23141;DSV;Done;Evento PosPago/Sem Solicitacao nao guarda valor real;2,00;1,00;Pedro  Rafael;"";Imediata;copiado #23140, copiada #23142
23143;DSV;Done;[Invoice] Incluir Tipo de Execucao na Regra de compatibilidade de Eventos ;2,00;1,00;Pedro  Rafael;"";Imediata;copiado #23142, copiada #23144
23144;DSV;Done;Melhorar formatacao das mensagem da regra de compatibilidade ;1,00;0,50;Pedro  Rafael;"";Imediata;copiado #23143, copiada #23146
23194;DSV;Done;[ERRO] - Contrato não pode sobrepor uma vigência ativa;"";0;Guilherme Melo;"";Imediata;""
23137;DSV;Done;[ServiceInstance] Controlar exibicao do botao remover ;1,00;1,00;Pedro  Rafael;"";Urgente;copiado #23136, copiada #23138
23138;DSV;Done;[Invoice] Adicionar o status do evento na tela de edicao da invoice ;1,00;1,00;Pedro  Rafael;"";Urgente;copiado #23137, copiada #23140
23142;DSV;Done;Na tela de Invoice exibir valores estimado e real (atualmente exibe apenas estimado);1,00;1,50;Pedro  Rafael;"";Urgente;copiado #23141, copiada #23143
23146;DSV;Done;Rever permanencia da mensagem de erro na tela ;2,00;0,50;Pedro  Rafael;"";Urgente;copiado #23144, copiada #23147
23068;DSV;Done;[ERRO] - [ServiceInstance] Implementar funcionalidade 'Registrar Execução Manual de ServiceInstance' <<Ver detalhes>>;8,00;4,70;Pedro  Rafael;"";Alta;copiado #22910
